model,short_rmse_x,long_rmse_x,full_rmse_x,partial_rmse_x,amp_ratio_x,switching_true,switching_pred,switching_ratio,spectral_distance_x,valid_time_x_02,valid_time_x_04,valid_time_x_08,coverage,daemon_coverage,daemon_rmse_x,precision,recall
full_phase_in,0.0747,1.291,1.225,0.7202,0.9767,0.0367,0.0456,1.2407,0.0576,1.5022,1.9515,2.4107,0.6327,0.7071,0.4098,0.8348,0.7469
x_out,0.2626,1.2607,1.1988,0.6781,0.9533,0.0382,0.0358,0.9367,0.0434,1.0802,1.7662,2.5622,0.5872,0.7163,0.3967,0.4844,0.7049
x_in,0.1107,1.3496,1.2808,0.7336,0.9672,0.0382,0.04,1.0453,0.0812,1.1343,1.6635,2.2498,0.5145,0.6358,0.448,0.8199,0.6636
full_phase_out,0.3536,1.3093,1.2472,0.8547,0.9518,0.0367,0.0345,0.9387,0.048,1.0162,1.5555,2.13,0.5279,0.598,0.4655,0.5762,0.6768
